STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
1,2023-12-01 00:00:03,2023-11-30 23:58:15,CLARENDON ROW,31,31,0,OPEN,Clarendon Row,53.3409,-6.2625
2,2023-12-01 00:00:03,2023-11-30 23:58:47,BLESSINGTON STREET,20,14,6,OPEN,Blessington Street,53.3568,-6.26814
3,2023-12-01 00:00:03,2023-11-30 23:50:47,BOLTON STREET,20,12,7,OPEN,Bolton Street,53.3512,-6.26986
4,2023-12-01 00:00:03,2023-11-30 23:50:20,GREEK STREET,20,12,8,OPEN,Greek Street,53.3469,-6.27298
5,2023-12-01 00:00:03,2023-11-30 23:55:45,CHARLEMONT PLACE,40,5,35,OPEN,Charlemont Street,53.3307,-6.26018
6,2023-12-01 00:00:03,2023-11-30 23:51:47,CHRISTCHURCH PLACE,20,13,7,OPEN,Christchurch Place,53.3434,-6.27012
7,2023-12-01 00:00:03,2023-11-30 23:58:22,HIGH STREET,29,23,6,OPEN,High Street,53.3436,-6.27507
8,2023-12-01 00:00:03,2023-11-30 23:51:53,CUSTOM HOUSE QUAY,30,2,28,OPEN,Custom House Quay,53.3479,-6.24805
9,2023-12-01 00:00:03,2023-11-30 23:58:16,EXCHEQUER STREET,24,17,7,OPEN,Exchequer Street,53.343,-6.26358
10,2023-12-01 00:00:03,2023-11-30 23:52:17,DAME STREET,16,3,13,OPEN,Dame Street,53.344,-6.2668
11,2023-12-01 00:00:03,2023-11-30 23:58:01,EARLSFORT TERRACE,30,29,1,OPEN,Earlsfort Terrace,53.3343,-6.2585
12,2023-12-01 00:00:03,2023-11-30 23:57:52,ECCLES STREET,20,16,4,OPEN,Eccles Street,53.3592,-6.26978
13,2023-12-01 00:00:03,2023-11-30 23:59:14,FITZWILLIAM SQUARE WEST,30,27,2,OPEN,Fitzwilliam Square West,53.3361,-6.25282
14,2023-12-01 00:00:03,2023-11-30 23:55:36,FOWNES STREET UPPER,30,19,11,OPEN,Fownes Street Upper,53.3446,-6.26337
15,2023-12-01 00:00:03,2023-11-30 23:54:22,HARDWICKE STREET,16,12,4,OPEN,Hardwicke Street,53.3555,-6.26442
16,2023-12-01 00:00:03,2023-11-30 23:57:46,GEORGES QUAY,20,2,18,OPEN,Georges Quay,53.3475,-6.25219
17,2023-12-01 00:00:03,2023-11-30 23:51:01,GOLDEN LANE,20,15,5,OPEN,Golden Lane,53.3408,-6.26773
18,2023-12-01 00:00:03,2023-11-30 23:57:09,GRANTHAM STREET,30,21,8,OPEN,Grantham Street,53.3341,-6.26544
19,2023-12-01 00:00:03,2023-11-30 23:51:59,HERBERT PLACE,30,30,0,OPEN,Herbert Place,53.3344,-6.24557
20,2023-12-01 00:00:03,2023-11-30 23:58:12,JAMES STREET EAST,30,29,1,OPEN,James Street East,53.3366,-6.24811
21,2023-12-01 00:00:03,2023-11-30 23:58:17,LEINSTER STREET SOUTH,30,9,21,OPEN,Leinster Street South,53.3422,-6.25449
