Number,Name,Address,Latitude,Longitude
8,008_PLAZA DE ITALIA,Plaza de Italia (Aprox. C/ de Joaquín Costa),43.4718048257527,-3.78134613485541
3,003_PARQUE LAS LLAMAS,Parque las Llamas (Aprox. Palacio de Deportes),43.47573226037,-3.79806387098462
14,014_ATILANO RODRIGUEZ,Atilano Rodriguez (aprox Paseo Pereda y San Fernando),43.4583838909468,-3.8104683913313
12,012_CALLE ALTA,Calle Alta (Aprox. Mercado de México),43.4579662522228,-3.82480124234961
7,007_FACULTAD DE DERECHO,Facultad de Derecho (Aprox. Facultad de Ciencias),43.4701661089386,-3.80649947753026
5,005_GLORIETA DE LOS DELFINES,Glorieta de los Delfines (Aprox. Avda de los Castros),43.4719661074837,-3.79285449619735
2,002_PLAZA DE LAS BRISAS,Plaza de las Brisas (Aprox. Jardines de Piquio),43.4744126704703,-3.78578134528458
10,010_PLAZA DE SAN MARTIN,Plaza de San Martin (Aprox. Avda de la Reina Victoria y Castelar),43.4635521249485,-3.78800547922826
13,013_CALLE DE SAN FERNANDO,Calle de San Fernando (Aprox. Paseo del Alameda),43.4607255432349,-3.81797824491875
4,004_CORMORÁN,Cormoran (Aprox. C/ de Manuel García Lago),43.4784718110308,-3.78865314567001
15,015_AV.DE LOS CASTROS 141,Cerca de borna 7,43.465323,-3.825767
1,001_JARDINES DE PEREDA,Jardines de Pereda (Aprox. Correos y Castelar),43.461719,-3.8021
6,006_FACULDAD DE CIENCIAS,Facultad de las Ciencias (Aprox. Glorieta de los Delfines),43.4711061117108,-3.80058645890079
16,016_SEVERO OCHOA,Severo Ochoa,43.4528130549523,-3.87139068298249
17,017_RUCANDIAL,Rucandial,43.4548260614091,-3.86690066866145
11,011_PUERTO CHICO,Puerto Chico (Aprox.Paseo Pereda y San Martín),43.4621430815773,-3.79724144946775
